index,path,mpath,is_smile
0001,./tag_face/file0001.jpg,./mouths/smile/mouth0001.jpg,1
0002,./tag_face/file0002.jpg,./mouths/smile/mouth0002.jpg,1
0003,./tag_face/file0003.jpg,./mouths/smile/mouth0003.jpg,1
0004,./tag_face/file0004.jpg,./mouths/smile/mouth0004.jpg,1
0005,./tag_face/file0005.jpg,./mouths/smile/mouth0005.jpg,1
0006,./tag_face/file0006.jpg,./mouths/smile/mouth0006.jpg,1
0007,./tag_face/file0007.jpg,./mouths/smile/mouth0007.jpg,1
0009,./tag_face/file0009.jpg,./mouths/smile/mouth0009.jpg,1
0010,./tag_face/file0010.jpg,./mouths/smile/mouth0010.jpg,1
0011,./tag_face/file0011.jpg,./mouths/smile/mouth0011.jpg,1
0012,./tag_face/file0012.jpg,./mouths/smile/mouth0012.jpg,1
0013,./tag_face/file0013.jpg,./mouths/smile/mouth0013.jpg,1
0014,./tag_face/file0014.jpg,./mouths/smile/mouth0014.jpg,1
0015,./tag_face/file0015.jpg,./mouths/smile/mouth0015.jpg,1
0017,./tag_face/file0017.jpg,./mouths/smile/mouth0017.jpg,1
0018,./tag_face/file0018.jpg,./mouths/smile/mouth0018.jpg,1
0021,./tag_face/file0021.jpg,./mouths/smile/mouth0021.jpg,1
0022,./tag_face/file0022.jpg,./mouths/smile/mouth0022.jpg,1
0023,./tag_face/file0023.jpg,./mouths/smile/mouth0023.jpg,1
0024,./tag_face/file0024.jpg,./mouths/smile/mouth0024.jpg,1
0025,./tag_face/file0025.jpg,./mouths/smile/mouth0025.jpg,1
0026,./tag_face/file0026.jpg,./mouths/smile/mouth0026.jpg,1
0027,./tag_face/file0027.jpg,./mouths/smile/mouth0027.jpg,1
0028,./tag_face/file0028.jpg,./mouths/smile/mouth0028.jpg,1
0029,./tag_face/file0029.jpg,./mouths/smile/mouth0029.jpg,1
0030,./tag_face/file0030.jpg,./mouths/smile/mouth0030.jpg,1
0032,./tag_face/file0032.jpg,./mouths/smile/mouth0032.jpg,1
0033,./tag_face/file0033.jpg,./mouths/smile/mouth0033.jpg,1
0034,./tag_face/file0034.jpg,./mouths/smile/mouth0034.jpg,1
0035,./tag_face/file0035.jpg,./mouths/smile/mouth0035.jpg,1
0036,./tag_face/file0036.jpg,./mouths/smile/mouth0036.jpg,1
0037,./tag_face/file0037.jpg,./mouths/smile/mouth0037.jpg,1
0038,./tag_face/file0038.jpg,./mouths/smile/mouth0038.jpg,1
0039,./tag_face/file0039.jpg,./mouths/smile/mouth0039.jpg,1
0042,./tag_face/file0042.jpg,./mouths/smile/mouth0042.jpg,1
0043,./tag_face/file0043.jpg,./mouths/smile/mouth0043.jpg,1
0044,./tag_face/file0044.jpg,./mouths/smile/mouth0044.jpg,1
0045,./tag_face/file0045.jpg,./mouths/smile/mouth0045.jpg,1
0046,./tag_face/file0046.jpg,./mouths/smile/mouth0046.jpg,1
0047,./tag_face/file0047.jpg,./mouths/smile/mouth0047.jpg,1
0048,./tag_face/file0048.jpg,./mouths/smile/mouth0048.jpg,1
0049,./tag_face/file0049.jpg,./mouths/smile/mouth0049.jpg,1
0050,./tag_face/file0050.jpg,./mouths/smile/mouth0050.jpg,1
0051,./tag_face/file0051.jpg,./mouths/smile/mouth0051.jpg,1
0052,./tag_face/file0052.jpg,./mouths/smile/mouth0052.jpg,1
0053,./tag_face/file0053.jpg,./mouths/smile/mouth0053.jpg,1
0054,./tag_face/file0054.jpg,./mouths/smile/mouth0054.jpg,1
0055,./tag_face/file0055.jpg,./mouths/smile/mouth0055.jpg,1
0056,./tag_face/file0056.jpg,./mouths/smile/mouth0056.jpg,1
0057,./tag_face/file0057.jpg,./mouths/smile/mouth0057.jpg,1
0058,./tag_face/file0058.jpg,./mouths/smile/mouth0058.jpg,1
0059,./tag_face/file0059.jpg,./mouths/smile/mouth0059.jpg,1
0060,./tag_face/file0060.jpg,./mouths/smile/mouth0060.jpg,1
0061,./tag_face/file0061.jpg,./mouths/smile/mouth0061.jpg,1
0062,./tag_face/file0062.jpg,./mouths/smile/mouth0062.jpg,1
0063,./tag_face/file0063.jpg,./mouths/smile/mouth0063.jpg,1
0064,./tag_face/file0064.jpg,./mouths/smile/mouth0064.jpg,1
0066,./tag_face/file0066.jpg,./mouths/smile/mouth0066.jpg,1
0067,./tag_face/file0067.jpg,./mouths/smile/mouth0067.jpg,1
0068,./tag_face/file0068.jpg,./mouths/smile/mouth0068.jpg,1
0070,./tag_face/file0070.jpg,./mouths/smile/mouth0070.jpg,1
